"acidity","residualSugar","density","pH","alcohol"
7,20.7,1.001,3,8.8
6.3,1.6,0.994,3.3,9.5
8.1,6.9,0.9951,3.26,10.1
7.2,8.5,0.9956,3.19,9.9
7.2,8.5,0.9956,3.19,9.9
8.1,6.9,0.9951,3.26,10.1
6.2,7,0.9949,3.18,9.6
7,20.7,1.001,3,8.8
6.3,1.6,0.994,3.3,9.5
8.1,1.5,0.9938,3.22,11
8.1,1.45,0.9908,2.99,12
8.6,4.2,0.9947,3.14,9.7
7.9,1.2,0.992,3.18,10.8
6.6,1.5,0.9912,3.54,12.4
8.3,19.25,1.0002,2.98,9.7
6.6,1.5,0.9914,3.25,11.4
6.3,1.1,0.9928,3.24,9.6
6.2,1.2,0.9892,3.33,12.8
7.4,1.1,0.9917,3.12,11.3
6.5,7.5,0.9955,3.22,9.5
6.2,1.2,0.9892,3.33,12.8
6.4,2.9,0.9912,3.17,11
6.8,1.7,0.993,3.47,10.5
7.6,1.5,0.9937,3.05,9.3
6.6,1.3,0.9951,3.42,10
7,9,0.9955,3.25,10.4
6.9,1,0.993,3.45,10
7,8.7,0.9961,3.38,10.5
7.4,1.1,0.9914,3.19,11.6
7.2,2,0.9906,3.1,12.3
8.5,10.4,0.9974,3.2,10
8.3,1.1,0.9934,3.47,10.2
7.4,2.05,0.992,3.19,10.8
6.2,1.5,0.9939,3.42,9
5.8,14.95,0.9962,3.37,10.2
7.3,1.7,0.9905,3.19,12.8
6.5,5.4,0.9934,3.24,10
7,1.2,0.9906,3.13,11.2
7.3,17.95,0.9999,3.21,8.6
7.3,17.95,0.9999,3.21,8.6
6.7,2.5,0.9937,3.11,9.4
6.7,2.9,0.9937,3.1,9.4
7,7.4,0.9954,3.13,9.8
6.6,1.4,0.9934,3.22,9.5
6.7,1.4,0.9934,3.24,9.5
7.4,1.4,0.9931,3.16,10
6.2,4.4,0.994,3.27,9.8
6.2,4.4,0.9939,3.25,9.8
7,7.4,0.9954,3.13,9.8
6.9,5,0.995,3.36,9.8
7.2,1.6,0.9917,3.35,11.7
6.6,1.1,0.9914,3.34,11
6.2,1.1,0.991,3.32,10.9
6.4,1,0.9911,3.31,10.9
6.8,0.9,0.993,3.05,9.1
6.9,1.3,0.9908,3.13,11
7.2,11.9,0.9962,3.09,9.6
6,12.4,0.9972,3.3,8.9
6.6,4.6,0.9931,3.11,10.2
7.4,1.2,0.9926,3.36,9.9
6.8,4.9,0.9951,3.03,8.6
6,12.4,0.9972,3.3,8.9
7,1.1,0.991,3.02,10.5
6.6,4.6,0.9931,3.11,10.2
7.2,1.4,0.9927,3.15,10.3
6.2,1.2,0.9934,3.22,9.1
6.4,6.4,0.9903,3.22,12.6
6.7,1.2,0.992,3.14,9.8
6.7,2.1,0.9926,3.33,10.7
7.4,10.1,0.9962,3.13,9.5
6.2,7.8,0.9956,3.1,9
6.8,4.6,0.9958,3.32,9.5
6,4.8,0.9964,3.69,10
8.6,1,0.9941,2.95,9.1
6.7,2.1,0.9926,3.33,10.7
7.4,10.1,0.9962,3.13,9.5
7.1,1.4,0.9898,3.26,12.7
7,1.3,0.9912,3.31,12
7.4,8.8,0.9961,2.94,9.3
6.7,5.4,0.9949,3.27,9
6.8,1.4,0.9929,3.39,10.6
7.1,16,0.9985,3.21,9.2
7.1,6.1,0.9946,3.17,10
7.3,8.2,0.9966,3.33,9.5
7.1,11.8,0.9974,3.11,8.7
7.1,11.8,0.9975,3.12,8.7
7.2,11,0.9974,3.09,8.7
6.8,13.3,0.9972,3.22,9.7
7.1,11.8,0.9974,3.11,8.7
7.1,11.8,0.9975,3.12,8.7
7.2,11,0.9974,3.09,8.7
6.1,7.5,0.9957,3.12,9
6.9,1.7,0.99,3.26,12.6
